,Happiness Rank,Happiness Score,Generosity,Family
137,138,3.995,0.18798,1.03526
55,56,5.833,0.02641,1.25745
126,127,4.35,0.07855,0.77711
84,85,5.129,0.19591,0.91612
154,155,3.34,0.1826,0.35386
42,43,6.123,0.27489,1.04356
67,68,5.605,0.07822,1.07772
117,118,4.55,0.19062,1.01404
26,27,6.67,0.33363,1.12447
136,137,4.033,0.12344,0.8604
78,79,5.253,0.47998,1.10395
149,150,3.656,0.28657,0.46475
36,37,6.302,0.51752,1.30203
76,77,5.286,0.3003,1.15115
22,23,6.81,0.05841,1.25596
133,134,4.218,0.11921,1.10614
141,142,3.904,0.20843,0.97619
11,12,7.226,0.25497,1.23788
79,80,5.212,0.07799,0.93793
68,69,5.589,0.2831,0.81198
123,124,4.436,0.219,0.86908
27,28,6.611,0.32573,1.0786
86,87,5.123,0.19231,1.00964
127,128,4.332,0.10461,1.10464
41,42,6.13,0.10692,1.02507
4,5,7.427,0.45811,1.32261
32,33,6.477,0.18401,1.24018
60,61,5.77,0.33075,1.07023
151,152,3.587,0.21747,0.85188
66,67,5.689,0.30638,0.89318
16,17,6.946,0.28034,1.21963
124,125,4.419,0.37542,0.99876
10,11,7.278,0.33172,1.22393
108,109,4.694,0.21222,0.43106
104,105,4.788,0.23027,0.95348
0,1,7.587,0.29678,1.34951
114,115,4.61,0.18987,1.03276
64,65,5.709,0.2123,1.15102
44,45,5.995,0.16893,1.26999
82,82,5.192,0.1614,0.90557
28,29,6.575,0.12332,1.26038
40,41,6.168,0.31844,1.18354
144,145,3.819,0.40359,0.62736
25,26,6.75,0.28214,1.29937
23,24,6.798,0.31105,1.02
111,112,4.677,0.17922,0.81889
39,40,6.269,0.16991,0.972
85,86,5.124,0.13748,0.88588
101,102,4.857,0.0,0.92933
153,154,3.465,0.22628,0.7737
132,133,4.252,0.20618,0.88767
47,48,5.975,0.11541,0.99903
115,116,4.571,0.24362,0.78968
61,62,5.759,0.05444,0.79624
73,74,5.399,0.51535,1.08708
33,34,6.455,0.5763,1.26504
105,106,4.786,0.22974,0.85563
112,113,4.642,0.11973,1.18468
119,120,4.517,0.24834,1.0012
62,63,5.754,0.18295,1.11862
94,95,4.959,0.14272,0.80434
97,98,4.885,0.21684,1.17202
53,54,5.855,0.11827,1.12241
5,6,7.406,0.23351,1.31826
110,111,4.681,0.15275,1.20278
118,119,4.518,0.46187,0.74302
49,50,5.948,0.22823,1.19777
35,36,6.329,0.18227,1.31379
80,81,5.194,0.33671,0.41411
77,78,5.268,0.27233,0.90432
34,35,6.411,0.13706,1.08393
46,47,5.984,0.18557,0.95774
7,8,7.364,0.36262,1.28907
43,44,6.003,0.22837,1.34043
70,71,5.477,0.37744,0.98521
147,148,3.678,0.23835,0.0
91,92,5.013,0.07172,0.64095
83,84,5.14,0.08185,0.94675
142,143,3.896,0.06822,0.90528
143,144,3.845,0.19387,0.77265
89,90,5.073,0.24991,1.03516
8,9,7.286,0.47501,1.31967
113,114,4.633,0.23087,0.67954
13,14,7.187,0.14074,0.91451
59,60,5.791,0.16759,1.27948
135,136,4.077,0.09131,0.68093
3,4,7.522,0.34699,1.33095
17,18,6.94,0.45901,1.36948
38,39,6.295,0.16228,1.16594
72,73,5.429,0.0868,1.22791
138,139,3.989,0.12388,0.6629
6,7,7.378,0.4761,1.28017
131,132,4.271,0.40828,1.01905
100,101,4.867,0.18259,1.07284
2,3,7.527,0.34139,1.36058
120,121,4.514,0.32296,0.86449
63,64,5.716,0.00199,1.23617
54,55,5.848,0.25328,1.27385
107,108,4.715,0.11251,0.92558
50,51,5.89,0.20536,0.97841
155,156,3.006,0.47179,0.47489
58,59,5.813,0.11046,1.23289
48,49,5.96,0.17362,1.21624
88,89,5.098,0.18226,1.09562
21,22,6.853,0.21542,1.08182
57,58,5.824,0.14982,0.97459
152,153,3.575,0.3651,0.30285
129,130,4.297,0.05547,0.38562
37,38,6.298,0.25376,1.07617
148,149,3.667,0.18386,0.76062
1,2,7.561,0.4363,1.40223
52,53,5.878,0.3424,1.30477
130,131,4.292,0.33128,0.41134
103,104,4.8,0.128,1.20215
99,100,4.874,0.3323,1.3006
116,117,4.565,0.26475,0.38174
87,88,5.102,0.13719,1.13935
74,75,5.36,0.1686,0.91226
121,122,4.512,0.24325,0.60406
157,158,2.839,0.16681,0.13995
20,21,6.867,0.51912,1.28548
71,72,5.474,0.39478,1.05818
106,107,4.739,0.06431,0.60429
14,15,7.119,0.40105,1.24711
92,93,5.007,0.22359,1.00232
102,103,4.839,0.21854,0.80001
